time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
644000000,32189250,32025600,29884416,22544384,11886592,5687486
646000000,32185342,32056832,29622272,22806528,11872768,5673986
648000000,32248586,32121856,28835840,23592960,11820032,5598454
650000000,32310044,32196608,29360128,23068672,11758592,5523684
652000000,32357558,32260096,28835840,23592960,11712000,5459274
654000000,32421284,32344576,28573696,23855104,11639808,5383260
656000000,32483745,32399872,28311552,24117248,11598848,5306463
658000000,32620306,32593408,26476544,25952256,11420672,5154542
660000000,32804007,32827904,27262976,25165824,11197440,4959577
662000000,32866005,32897024,28049408,24379392,11143168,4882731
664000000,32907817,32937984,27000832,25427968,11111936,4831191
666000000,33050760,33123840,26476544,25952256,10934784,4679544
668000000,33112278,33128960,27000832,25427968,10940416,4607274
670000000,33179114,33195008,27262976,25165824,10882048,4532758
672000000,33169093,33257472,27525120,24903680,10827776,4534587
674000000,33181049,33274368,27262976,25165824,10823168,4510343
676000000,33243962,33330176,27262976,25165824,10777088,4437702
678000000,33306950,33393152,27000832,25427968,10723840,4364986
680000000,33234040,33275392,27525120,24903680,10856448,4423048
682000000,33230905,33223680,27000832,25427968,10915840,4418503
684000000,33295242,33362944,26738688,25690112,10782208,4348534
686000000,33228926,33298432,28311552,24117248,10858496,4403074
688000000,33102749,33146880,28049408,24379392,11017216,4522083
690000000,32930745,32915456,29097984,23330816,11260416,4682311
692000000,32783155,32769536,29360128,23068672,11417600,4818637
694000000,32699645,32675840,28573696,23855104,11520512,4892931
696000000,32672042,32663040,29097984,23330816,11538432,4915414
698000000,32543628,32515584,29622272,22806528,11692032,5037684
700000000,32417770,32386560,30146560,22282240,11827712,5156886
702000000,32290758,32259072,30408704,22020096,11963392,5275706
704000000,32147029,32107520,30146560,22282240,12122112,5412267
706000000,32079392,31986688,29884416,22544384,12251648,5471200
708000000,32098213,31968768,29884416,22544384,12276736,5445211
710000000,32142075,31987200,29884416,22544384,12267008,5392645
712000000,32124641,31960064,29622272,22806528,12303360,5400863
714000000,32114789,31964160,29097984,23330816,12302336,5407643
716000000,32180935,32057856,29360128,23068672,12211200,5338937
718000000,32255936,32159232,28049408,24379392,12116480,5257280
720000000,32324944,32251904,28835840,23592960,12027392,5184688
722000000,32351902,32285696,29884416,22544384,11998720,5152610
724000000,32228735,32172032,30146560,22282240,12121600,5266561
726000000,32065662,32023040,31195136,21233664,12276736,5423490
728000000,31873723,31790592,31981568,20447232,12515328,5609285
730000000,31684879,31609344,31981568,20447232,12702208,5792497
732000000,31504642,31479808,31457280,20971520,12836864,5967614
734000000,31393231,31361024,31195136,21233664,12962304,6072369
736000000,31281915,31228928,32243712,20185088,13096448,6181637
738000000,31155417,31062528,32505856,20185088,13003776,6305063
740000000,31090795,30980096,31195136,21495808,13089792,6366101
742000000,31153392,31066112,30932992,21757952,13006848,6300432
744000000,31215287,31119872,30932992,21757952,12957184,6234441
746000000,31233624,31126528,30932992,21757952,12957184,6209448
748000000,31277496,31186432,31719424,20971520,12902400,6160456
750000000,31255336,31194624,31195136,21495808,12899328,6177496
752000000,31262044,31245312,31457280,21495808,12588544,6168740
754000000,31150493,31146496,31981568,20971520,12693504,6274147
756000000,31024210,31038976,32768000,20185088,12807168,6394286
758000000,30917156,30918144,32243712,20709376,12932608,6496732
760000000,30904970,30927872,31457280,21495808,12924928,6506870
762000000,30968805,30927872,31719424,21757952,12402688,6440987
764000000,31033707,31026176,31195136,22282240,12306432,6374037
766000000,31099420,31067648,31719424,21757952,12267008,6306276
768000000,31148096,31123456,30932992,23068672,11689984,6254528
770000000,31211342,31135744,30408704,23592960,11679232,6189746
772000000,31275026,31289856,30146560,23855104,11528192,6122990
774000000,31496784,31496704,29097984,24903680,11323392,5899184
776000000,31714713,31751680,28835840,25165824,11070464,5679207
778000000,31967072,31976960,28049408,26214400,10585088,5424800
780000000,32193598,32167424,28573696,25690112,10395648,5197250
782000000,32409451,32387584,27787264,26476544,10177024,4979861
784000000,32590357,32556032,27525120,26738688,10011136,4796395
786000000,32667099,32581120,27262976,27000832,9987584,4718117
788000000,32838757,32732672,27262976,27000832,9837056,4545435
790000000,32942646,32899584,27000832,27262976,9670144,4441546
792000000,33021743,32965120,26738688,27525120,9606144,4360913
794000000,33163896,33053184,27000832,27262976,9520128,4216712
796000000,33225879,33088512,27525120,26738688,9487360,4152169
798000000,33178674,33020416,28049408,26214400,9556992,4197838
800000000,33153501,33005056,27787264,26476544,9573376,4221987
802000000,33056085,32868864,28835840,25690112,9448960,4317867
804000000,32939945,32788480,28049408,26476544,9531904,4431447
806000000,32817165,32672768,29622272,24903680,9650688,4551155
808000000,32692834,32486912,29622272,24903680,9839616,4672414
810000000,32566704,32359936,29622272,24903680,9968640,4796496
812000000,32456559,32233984,29360128,25165824,10098176,4903057
814000000,32452295,32293888,28573696,25952256,10041344,4904249
816000000,32534601,32394240,28049408,27000832,9418752,4819895
818000000,32520841,32425472,29360128,25690112,9389056,4832119
820000000,32396146,32319488,29884416,25165824,9496576,4955278
822000000,32268625,32149504,30670848,24641536,9410048,5077167
824000000,32141016,32059904,30146560,25165824,9502208,5202216
826000000,32014595,31992320,30408704,25165824,9309696,5326589
828000000,32005817,31974912,29884416,25690112,9332736,5329735
830000000,32055713,32066560,29622272,25952256,9245184,5275743
832000000,31936850,32007680,30670848,24903680,9306112,5392558
834000000,31860614,31945216,30146560,25427968,9374720,5462650
836000000,31822679,31938048,30408704,25427968,9121280,5499049
838000000,31802122,31906816,29884416,25952256,9155584,5516534
840000000,31864801,31969280,29097984,26738688,9100800,5446175
842000000,31931232,32042496,29097984,27000832,8769536,5375648
844000000,31996075,32080896,29622272,26476544,8737792,5304149
846000000,31951039,32046080,31195136,24903680,8780288,5341505
848000000,31822902,31949312,31195136,24903680,8885248,5461450
850000000,31696738,31823360,31719424,24379392,9017856,5580958
852000000,31488381,31635456,31195136,25165824,8954368,5778563
854000000,31509482,31653376,30146560,26214400,8943616,5750294
856000000,31459356,31639040,31719424,24903680,8710656,5785572
858000000,31333280,31497728,31195136,25427968,8862720,5900896
860000000,31393716,31540224,29884416,26738688,8829440,5831244
862000000,31422661,31598592,31195136,25427968,8780800,5792571
864000000,31369457,31532544,31457280,25427968,8598016,5832463
866000000,31264499,31449088,31195136,25952256,8437248,5919501
868000000,31157817,31322112,32243712,24903680,8583168,6007239
870000000,31028711,31194624,31981568,25165824,8734720,6112281
872000000,30903173,31091712,32243712,24903680,8855552,6219899
874000000,30780655,31003136,32505856,24903680,8705536,6318865
876000000,30651881,30862336,32768000,24641536,8867840,6426135
878000000,30568664,30748672,33554432,23855104,9008640,6482216
880000000,30456576,30644736,32768000,24641536,9142784,6564096
882000000,30555232,30730752,31195136,26214400,9077248,6444960
884000000,30742351,30959616,31719424,25952256,8614400,6229681
886000000,30806326,31024640,31195136,27000832,8049152,6141642
888000000,30825697,31036416,32768000,25690112,7801344,6096159
890000000,30686174,30850560,33816576,24641536,8018432,6204450
892000000,30518325,30649856,33554432,25165824,7998464,6330827
894000000,30389750,30554112,33554432,25427968,7872512,6418954
896000000,30296999,30455808,32768000,26214400,8001024,6481497
898000000,30291400,30392320,33030144,25952256,8108032,6443576
900000000,30357079,30474752,32505856,26476544,8062976,6340521
902000000,30419890,30578688,31981568,27000832,7994880,6241870
904000000,30481552,30671360,32768000,26476544,7670784,6149488
906000000,30357397,30598144,33816576,25690112,7524352,6231147
908000000,30229561,30434816,33554432,26214400,7468544,6315975
910000000,30112603,30332928,33816576,25952256,7616512,6386853
912000000,30102161,30272000,33554432,26214400,7711232,6363503
914000000,30121362,30276608,33554432,26476544,7485440,6303342
916000000,30060363,30235648,33816576,26214400,7578624,6312117
918000000,29968344,30141952,33816576,26476544,7456256,6358056
920000000,29967221,30180352,33292288,27000832,7464448,6312587
922000000,29980909,30197760,33292288,27000832,7485952,6259987
924000000,29949224,30209536,33816576,26476544,7526912,6238936
926000000,29909819,30149632,33292288,27000832,7636480,6228677
928000000,29936709,30176768,34603008,25690112,7645696,6165435
930000000,29810749,30084096,34340864,26214400,7540736,6226883
932000000,29717467,29993472,34078720,27000832,7166464,6260773
934000000,29690643,29949440,34603008,26476544,7268352,6229741
936000000,29531173,29825024,35913728,25427968,7186432,6333403
938000000,29365218,29662208,35651584,25690112,7410176,6438430
940000000,29302097,29653504,34603008,26738688,7475712,6444719
942000000,29362522,29687808,34603008,26738688,7493632,6332070
944000000,29406404,29744640,34340864,27000832,7481344,6243644
946000000,29471349,29803520,33816576,27525120,7470592,6130571
948000000,29589558,29954048,33030144,28311552,7370752,5961674
950000000,29659502,30059520,33554432,27787264,7315456,5841554
952000000,29612812,29984768,35127296,26214400,7442432,5836020
954000000,29484697,29841920,35127296,26214400,7634432,5914983
956000000,29356475,29745664,35127296,26214400,7794176,5979717
958000000,29360140,29724160,34865152,26476544,7867904,5923828
960000000,29253750,29649920,35127296,26214400,8000000,5972362
962000000,29298860,29708800,33816576,27787264,7735296,5870932
964000000,29487060,29928960,32768000,28835840,7556096,5641772
966000000,29654386,30116352,33292288,28311552,7415296,5427854
968000000,29717632,30218240,34078720,27525120,7352320,5325696
970000000,29759865,30287872,33816576,28049408,7072256,5231751
972000000,29644256,30131200,34603008,27525120,7009280,5304864
974000000,29557254,30062080,33816576,28311552,7131136,5339130
976000000,29576934,30134784,34340864,27787264,7107584,5270298
978000000,29541852,30090240,34078720,28049408,7199232,5258276
980000000,29548540,30066176,34340864,27787264,7263232,5211652
982000000,29492219,29996032,34865152,27525120,7116288,5222917
984000000,29365231,29859840,34865152,27525120,7300096,5302289
986000000,29298595,29770240,35127296,27262976,7424512,5334109
988000000,29188071,29630976,35651584,26738688,7601152,5407257
990000000,29147922,29558272,34865152,27525120,7717888,5403374
992000000,29209567,29598208,35127296,27525120,7449600,5307937
994000000,29197201,29641728,34865152,27787264,7441408,5284975
996000000,29250437,29690368,34603008,28049408,7427072,5197435
