time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
1018000000,35526724,35835392,21233664,41418752,202752,444
1020000000,35518327,35851264,23330816,39321600,195584,137
1022000000,35389506,35686400,23592960,39321600,226816,446
1024000000,35266725,35565056,23592960,39583744,208896,347
1026000000,35215955,35511808,22544384,40894464,50688,429
1028000000,35279353,35554816,22544384,40632320,206848,7
1030000000,35259603,35516928,24117248,39321600,2048,301
1032000000,35233699,35532800,22282240,41156608,12288,93
1034000000,35389503,35705344,21495808,41418752,207872,449
1036000000,35462555,35791360,22544384,40370176,49152,101
1038000000,35450715,35828736,22806528,40108032,23552,165
1040000000,35438861,35862528,22282240,40632320,1536,243
1042000000,35367655,35774464,23330816,39583744,160768,281
1044000000,35240471,35645952,23068672,40108032,154112,489
1046000000,35177069,35583488,23068672,40370176,17920,403
1048000000,35223563,35601408,23330816,39845888,215552,501
1050000000,35163766,35557376,23068672,40370176,57344,394
1052000000,35077498,35462656,23855104,39583744,238592,134
1054000000,34951027,35323392,25165824,38535168,242176,141
1056000000,34795566,35177472,24641536,39583744,18944,466
1058000000,34475577,34874880,27262976,37486592,117248,455
1060000000,34259755,34648576,25690112,39583744,35328,213
1062000000,34180538,34582016,25427968,39845888,181248,70
1064000000,34055475,34471424,25690112,39845888,154624,205
1066000000,33932860,34317824,26476544,39321600,168448,452
1068000000,33803797,34196480,25952256,40108032,156672,491
1070000000,33711067,34098176,25952256,40370176,86016,37
1072000000,33774993,34141184,24903680,41156608,241152,111
1074000000,33810851,34232320,25952256,40108032,114176,93
1076000000,33836226,34214400,25427968,40632320,106496,318
1078000000,33787036,34168832,26214400,39845888,201216,356
1080000000,33661642,34050560,26476544,39845888,182784,310
1082000000,33553929,33898496,27000832,39583744,180224,503
1084000000,33425233,33786368,26738688,40108032,159232,175
1086000000,33417890,33801216,26738688,40108032,151552,350
1088000000,33300756,33653760,26738688,40370176,154112,236
1090000000,33363330,33712128,25690112,41418752,33280,126
1092000000,33389983,33751040,27525120,39321600,229888,97
